Match #,Date,Time,Home Club,Home Team,Home Score,Away Club,Away Team,Away Score,Location,Division,Age,Gender,Status,Event Name
6,03/20/2026,18:30 EDT,Mechanicville-Stillwater,MSUSC U16G,,Greenbush Soccer Club,Greenbush SC Girls 2010/2011 (U16)-Green,,Waterford-Halfmoon High School - HS Turf Field,GU16,16,Female,Scheduled,2026 Eastern New York State Cup U12-U17
1284,04/19/2026,13:00 EDT,Mechanicville-Stillwater,MSUSC U17 Boys (Spring 2026),,Fulton United,Force M U18B,,MSYSL Fields - Field 4,HS Boys Div 4,19,Male,"",CDYSL 2026 Spring Season
1013,04/19/2026,14:45 EDT,Capital CIty FC,Capital City FC U16 Girls Integrity - CDYSL,,Mechanicville-Stillwater,MSUSC U16 Girls (Spring 2026),,Lansingburgh High School - Soccer Field,U16G Bracket,16,Female,"",CDYSL 2026 Spring Season
803,04/19/2026,17:45 EDT,Mechanicville-Stillwater,MSUSC U14 Boys (Spring 2026),,FC Dutchmen,FC Dutchmen Surf STRIKERS 2012 boys NPL,,MSYSL Fields - Field 4,Division 3,14,Male,"",CDYSL 2026 Spring Season
104,04/20/2026,18:30 EDT,Mechanicville-Stillwater,MSUSC U8 Girls Cherries (Spring 2026),,Fifty Football Club,Fifty FC U8 Coed 25-26 Black,,MSYSL Fields - Field 1,Division 3,8,Coed,"",CDYSL 2026 Spring Season
1186,04/21/2026,18:30 EDT,Mechanicville-Stillwater,MSUSC U10 Boys Gunners (Spring 2026),,Fifty Football Club,Fifty FC U10 Boys 25-26 Black,,MSYSL Fields - Field 2,Division 3,10,Male,"",CDYSL 2026 Spring Season
535,04/21/2026,18:30 EDT,Rotterdam,RUSC U12 Boys,,Mechanicville-Stillwater,MSUSC U12 Boys Gunners (Spring 2026),,Rotterdam United Soccer Fields - U12 Field 1,Division 3,12,Male,"",CDYSL 2026 Spring Season
614,04/21/2026,18:30 EDT,Mechanicville-Stillwater,MSUSC U12 Boys Reds (Spring 2026),,Northern United Soccer Club,U12B Wolves,,MSYSL Fields - Field 3,Division 4,12,Male,"",CDYSL 2026 Spring Season
719,04/22/2026,18:30 EDT,Mechanicville-Stillwater,MSUSC U12 Girls (Spring 2026),,Rip Van Winkle,RVW U12 Girls Spring Travel 2026,,MSYSL Fields - Field 3,Division 4,12,Female,"",CDYSL 2026 Spring Season
889,04/22/2026,18:30 EDT,Mechanicville-Stillwater,MSUSC U14 Girls (Spring 2026),,FC Dutchmen,FC Dutchmen Surf STORM 2013g DPL,,MSYSL Fields - Field 4,Division 2,14,Female,"",CDYSL 2026 Spring Season
102,04/25/2026,10:00 EDT,Mechanicville-Stillwater,MSUSC U8 Boys Gunners (Spring 2026),,Saratoga-Wilton,SWSC U8 Boys White,,MSYSL Fields - Field 1,Division 3,8,Coed,"",CDYSL 2026 Spring Season
1286,04/26/2026,13:00 EDT,Fulton United,Force N U18B,,Mechanicville-Stillwater,MSUSC U17 Boys (Spring 2026),,Northville High School - Northville High School,HS Boys Div 4,19,Male,"",CDYSL 2026 Spring Season
1020,04/26/2026,14:45 EDT,Mechanicville-Stillwater,MSUSC U16 Girls (Spring 2026),,Brunswick,Brunswick U16 Girls CDYSL 2026,,MSYSL Fields - Field 4,U16G Bracket,16,Female,"",CDYSL 2026 Spring Season
804,04/26/2026,17:45 EDT,Mechanicville-Stillwater,MSUSC U14 Boys (Spring 2026),,Niskayuna,Niskayuna U14 Boys 2025-26,,MSYSL Fields - Field 4,Division 3,14,Male,"",CDYSL 2026 Spring Season
111,04/27/2026,18:30 EDT,FC Dutchmen,FC Dutchmen Suf WAVE 2018 girls,,Mechanicville-Stillwater,MSUSC U8 Girls Cherries (Spring 2026),,Dicaprio Park - Field 2,Division 3,8,Coed,"",CDYSL 2026 Spring Season
328,04/28/2026,18:30 EDT,Mechanicville-Stillwater,MSUSC U10 Boys Lions (Spring 2026),,Niskayuna,Niskayuna U9 Boys White 2025-26,,MSYSL Fields - Field 2,Division 4,10,Male,"",CDYSL 2026 Spring Season
622,04/28/2026,18:30 EDT,Mechanicville-Stillwater,MSUSC U12 Boys Reds (Spring 2026),,Colonie,Colonie U12 Boys Garnet,,MSYSL Fields - Field 3,Division 4,12,Male,"",CDYSL 2026 Spring Season
1195,04/28/2026,18:30 EDT,Albany SC,Eagles - Albany Soccer Club,,Mechanicville-Stillwater,MSUSC U10 Boys Gunners (Spring 2026),,"hoffman park FBI Field (U8, U10, U12) - hoffman park FBI Field (U8, U10, U12)",Division 3,10,Male,"",CDYSL 2026 Spring Season
544,04/28/2026,18:30 EDT,Saratoga-Wilton,SWSC U12 Boys White,,Mechanicville-Stillwater,MSUSC U12 Boys Gunners (Spring 2026),,Gavin Park - 4.1,Division 3,12,Male,"",CDYSL 2026 Spring Season
728,04/29/2026,18:30 EDT,Greenville,Greenville U12 Girls Galaxy,,Mechanicville-Stillwater,MSUSC U12 Girls (Spring 2026),,Greenville Town Park (George V Vanderbilt Park) - Field 2,Division 4,12,Female,"",CDYSL 2026 Spring Season
